#(id,from,to,speed,planTime, priority, preset)
(37819, 496, 1208, 14, 3, 0, 1)
(20556, 1271, 342, 10, 46, 0, 0)
(55541, 1982, 58, 12, 4, 1, 1)
(47027, 1170, 1764, 8, 3, 0, 0)
(10866, 1172, 1897, 12, 15, 0, 0)
(52934, 1989, 1927, 6, 46, 0, 1)
(46642, 790, 634, 12, 18, 0, 0)
(22146, 111, 664, 10, 21, 0, 0)
(44759, 699, 1803, 16, 26, 0, 0)
(89059, 506, 674, 6, 33, 0, 1)
(24362, 1827, 463, 6, 8, 0, 0)
(40704, 994, 1984, 6, 21, 0, 1)
(18703, 199, 1110, 12, 12, 0, 0)
(42811, 1689, 58, 12, 20, 0, 1)
(51799, 1758, 1852, 10, 14, 0, 0)
(45938, 1827, 841, 14, 32, 1, 0)
(91560, 1243, 1984, 12, 33, 0, 0)
(17869, 1709, 199, 14, 9, 0, 0)
(80421, 569, 27, 4, 42, 0, 0)
(28655, 1471, 664, 16, 14, 0, 1)
(97304, 719, 130, 12, 3, 0, 0)
(93329, 463, 1009, 6, 23, 0, 1)
(45839, 674, 560, 14, 44, 0, 0)
(89331, 994, 560, 10, 27, 0, 0)
(78610, 1770, 1085, 4, 9, 0, 1)
(21602, 1195, 1764, 4, 23, 0, 0)
(27202, 1189, 1330, 6, 45, 0, 0)
(59138, 1427, 684, 6, 36, 0, 0)
(99222, 994, 130, 16, 15, 1, 0)
(97280, 562, 970, 4, 2, 0, 0)
(55745, 141, 199, 12, 4, 1, 0)
(86622, 1189, 1330, 10, 1, 0, 0)
(58919, 1159, 1239, 4, 7, 0, 0)
(101096, 560, 674, 10, 39, 0, 0)
(74953, 1160, 790, 4, 37, 1, 0)
(36597, 398, 1984, 4, 13, 0, 0)
(108644, 105, 1953, 6, 46, 0, 0)
(16422, 224, 684, 8, 43, 0, 0)
(102126, 48, 1061, 12, 16, 1, 1)
